college-stub	department-stub	program-stub	college-name-short	program-name	program-url
family-home-and-social-sciences	geography	geographic-information-systems-minor	Family Home and Social Sciences	Geography	Geographic Information Systems (Minor)	/family-home-and-social-sciences/geography/geographic-information-systems-minor
family-home-and-social-sciences	geography	geography-teaching-minor	Family Home and Social Sciences	Geography	Geography Teaching (Minor)	/family-home-and-social-sciences/geography/geography-teaching-minor
family-home-and-social-sciences	geography	geography-environmental-studies-bs	Family Home and Social Sciences	Geography	Geography: Environmental Studies (BS)	/family-home-and-social-sciences/geography/geography-environmental-studies-bs
family-home-and-social-sciences	geography	geography-geographic-information-systems-bs	Family Home and Social Sciences	Geography	Geography: Geographic Information Systems (BS)	/family-home-and-social-sciences/geography/geography-geographic-information-systems-bs
family-home-and-social-sciences	geography	geography-geospatial-intelligence-bs	Family Home and Social Sciences	Geography	Geography: Geospatial Intelligence (BS)	/family-home-and-social-sciences/geography/geography-geospatial-intelligence-bs
family-home-and-social-sciences	geography	geography-global-studies-bs	Family Home and Social Sciences	Geography	Geography: Global Studies (BS)	/family-home-and-social-sciences/geography/geography-global-studies-bs
family-home-and-social-sciences	geography	geography-tourism-studies-bs	Family Home and Social Sciences	Geography	Geography: Tourism Studies (BS)	/family-home-and-social-sciences/geography/geography-tourism-studies-bs
family-home-and-social-sciences	geography	geography-urban-regional-planning-bs	Family Home and Social Sciences	Geography	Geography: Urban & Regional Planning (BS)	/family-home-and-social-sciences/geography/geography-urban-regional-planning-bs
physical-and-mathematical-sciences	geological-sciences	geology-bs	Physical and Mathematical Sciences	Geological Sciences	Geology (BS)	/physical-and-mathematical-sciences/geological-sciences/geology-bs
physical-and-mathematical-sciences	geological-sciences	geology-minor	Physical and Mathematical Sciences	Geological Sciences	Geology (Minor)	/physical-and-mathematical-sciences/geological-sciences/geology-minor
physical-and-mathematical-sciences	geological-sciences	geology-teaching-minor	Physical and Mathematical Sciences	Geological Sciences	Geology Teaching (Minor)	/physical-and-mathematical-sciences/geological-sciences/geology-teaching-minor
physical-and-mathematical-sciences	geological-sciences	geology-environmental-geology-bs	Physical and Mathematical Sciences	Geological Sciences	Geology: Environmental Geology (BS)	/physical-and-mathematical-sciences/geological-sciences/geology-environmental-geology-bs
humanities	german-and-russian	german-minor	Humanities	German and Russian	German (Minor)	/humanities/german-and-russian/german-minor
humanities	german-and-russian	german-studies-ba	Humanities	German and Russian	German Studies (BA)	/humanities/german-and-russian/german-studies-ba
humanities	german-and-russian	german-teaching-minor	Humanities	German and Russian	German Teaching (Minor)	/humanities/german-and-russian/german-teaching-minor
humanities	german-and-russian	german-teaching-ba	Humanities	German and Russian	German Teaching (BA)	/humanities/german-and-russian/german-teaching-ba
humanities	german-and-russian	german-linguistics-ba	Humanities	German and Russian	German: Linguistics (BA)	/humanities/german-and-russian/german-linguistics-ba
humanities	german-and-russian	german-literaturefilmculture-ba	Humanities	German and Russian	German: Literature/Film/Culture (BA)	/humanities/german-and-russian/german-literaturefilmculture-ba
family-home-and-social-sciences	school-of-family-life	gerontology-minor	Family Home and Social Sciences	School of Family Life	Gerontology (Minor)	/family-home-and-social-sciences/school-of-family-life/gerontology-minor
management	management-programs	global-business-and-literacy-minor	Management	Management Programs	Global Business and Literacy (Minor)	/management/management-programs/global-business-and-literacy-minor
family-home-and-social-sciences	geography	global-studies-minor	Family Home and Social Sciences	Geography	Global Studies (Minor)	/family-home-and-social-sciences/geography/global-studies-minor
fine-arts-and-communications	design	graphic-design-bfa	Fine Arts and Communications	Design	Graphic Design (BFA)	/fine-arts-and-communications/design/graphic-design-bfa
family-home-and-social-sciences	history	history-minor	Family Home and Social Sciences	History	History (Minor)	/family-home-and-social-sciences/history/history-minor
family-home-and-social-sciences	history	history-ba	Family Home and Social Sciences	History	History (BA)	/family-home-and-social-sciences/history/history-ba
family-home-and-social-sciences	history	history-teaching-minor	Family Home and Social Sciences	History	History Teaching (Minor)	/family-home-and-social-sciences/history/history-teaching-minor
family-home-and-social-sciences	history	history-teaching-ba	Family Home and Social Sciences	History	History Teaching (BA)	/family-home-and-social-sciences/history/history-teaching-ba
humanities	comparative-arts-and-letters	humanities-minor	Humanities	Comparative Arts and Letters	Humanities (Minor)	/humanities/comparative-arts-and-letters/humanities-minor
